"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    All industries",12.600,13.508,13.378,13.690,14.910,15.069,15.173,15.306,15.570,16.134,16.648,16.970,17.237,17.437,17.580,17.758,17.880,18.111,18.430,18.989,19.408,20.107,21.026,21.977,22.931,23.845,25.625,28.740,31.459,33.188,35.325,37.952,41.595,46.322,50.656,52.943,54.710,56.503,57.687,57.881,59.629,61.895,64.316,66.655,68.256,69.670,71.208,72.690,74.828,76.010,76.814
"    2","Private industries",13.622,14.652,14.455,14.802,16.183,16.333,16.417,16.521,16.753,17.348,17.880,18.178,18.462,18.658,18.779,18.947,19.026,19.227,19.537,20.103,20.507,21.185,22.117,23.010,23.889,24.743,26.626,29.972,32.819,34.574,36.793,39.557,43.419,48.401,52.875,55.095,56.845,58.605,59.692,59.745,61.536,63.858,66.302,68.622,70.044,71.317,72.836,74.293,76.459,77.595,78.316
"    3","  Agriculture, forestry, fishing, and hunting",32.456,34.047,29.552,30.095,35.274,33.659,29.919,28.828,27.562,27.285,27.552,29.763,28.488,28.233,28.310,28.842,28.734,28.272,29.576,31.418,30.174,30.908,32.798,33.594,34.911,38.597,53.695,57.075,55.276,56.580,57.378,64.625,72.723,73.890,76.368,72.662,75.293,77.363,70.115,68.053,69.421,75.715,79.522,80.102,77.237,77.503,80.066,80.173,81.305,87.966,84.360
"    4","    Farms",36.514,37.871,32.704,33.283,39.154,37.197,32.930,31.734,30.194,29.771,30.205,32.770,30.933,30.714,30.824,31.382,31.138,30.410,31.906,34.065,32.320,33.047,34.825,35.473,36.560,40.730,57.663,61.657,59.435,59.439,58.897,66.469,74.913,76.735,79.030,74.925,78.081,80.570,71.844,69.026,70.124,76.416,80.626,80.831,77.665,76.904,78.564,78.005,79.009,87.142,82.785
"    5","    Forestry, fishing, and related activities",11.229,14.562,13.835,14.238,15.821,16.093,15.103,14.526,14.735,15.254,14.592,14.917,16.918,16.426,16.321,16.746,17.346,18.193,18.583,18.943,20.014,20.762,23.056,24.494,26.853,28.389,35.484,36.307,36.257,42.889,49.172,54.823,61.190,59.443,62.678,60.923,61.289,61.559,61.298,62.972,65.646,71.921,73.677,76.255,75.047,81.072,88.718,92.655,94.519,92.780,93.777
"    6","  Mining",5.390,6.821,6.747,6.833,7.297,7.376,7.648,7.491,7.640,8.107,8.335,8.095,8.105,8.101,8.082,8.141,8.128,8.291,8.237,8.384,8.512,8.713,9.104,9.791,10.260,10.528,11.852,17.837,21.891,23.572,26.014,28.827,35.968,47.734,61.245,62.955,59.514,58.452,56.003,41.392,42.363,40.415,43.659,47.458,44.049,43.665,42.865,41.517,41.595,47.718,47.974
"    7","    Oil and gas extraction",3.607,4.572,4.442,4.409,4.559,4.586,4.844,4.939,4.957,5.085,5.449,5.377,5.353,5.382,5.401,5.465,5.431,5.376,5.358,5.474,5.566,5.651,5.840,6.057,6.406,6.483,7.491,12.245,14.918,16.670,19.169,20.885,28.351,44.443,61.509,61.720,59.754,59.519,55.926,34.429,36.433,32.676,37.107,42.828,37.727,37.749,38.076,35.399,34.145,44.392,44.575
"    8","    Mining, except oil and gas",8.491,10.964,10.952,11.233,12.239,12.413,12.709,12.117,12.426,13.462,13.333,12.826,12.954,12.861,12.756,12.775,12.809,13.538,13.390,13.526,13.743,14.270,15.180,17.168,17.885,18.775,20.628,29.239,36.156,37.184,38.066,41.785,47.295,52.640,55.569,55.586,54.800,53.771,52.932,50.924,51.863,52.386,53.224,53.371,51.745,51.594,49.680,50.205,51.865,50.542,49.643
"    9","    Support activities for mining",9.049,10.676,10.739,11.000,11.935,12.090,12.432,11.902,12.381,13.436,13.662,13.031,13.012,12.993,12.920,13.017,13.052,13.381,13.320,13.708,13.791,13.955,14.384,15.053,15.448,15.460,17.045,22.377,27.554,29.837,34.798,41.452,49.550,54.320,71.849,80.879,68.073,63.605,63.085,57.603,51.301,54.815,57.407,60.140,61.757,57.779,53.140,54.075,57.631,61.531,65.830
"    10","  Utilities",6.543,6.764,6.913,6.986,7.313,7.637,7.927,8.161,8.482,8.708,8.944,9.288,9.541,9.918,10.081,10.148,10.284,10.326,10.435,10.523,10.642,10.840,11.170,11.732,12.632,13.338,14.136,16.723,19.880,22.497,25.579,27.896,30.944,36.596,42.066,47.387,50.934,52.635,53.395,52.291,51.635,52.446,54.222,55.662,58.090,59.390,61.158,62.107,62.834,64.547,65.612
"    11","  Construction",7.772,8.621,8.620,8.843,9.581,9.847,9.927,9.861,10.035,10.536,10.781,10.795,10.881,10.861,10.938,11.012,11.074,11.274,11.427,11.880,12.289,12.859,13.845,14.755,15.769,16.673,18.100,20.630,22.633,23.716,25.524,28.293,31.587,35.101,37.791,39.194,39.878,41.110,42.058,43.377,44.879,46.683,48.646,50.279,50.907,51.613,53.351,55.354,57.520,58.711,60.652
"    12","  Manufacturing",18.217,19.475,19.055,19.786,22.051,21.845,21.842,21.943,22.289,23.244,23.966,24.224,24.762,24.891,24.866,24.946,24.930,25.071,25.410,26.060,26.381,27.023,27.890,28.753,29.352,30.127,32.272,37.703,41.890,43.817,46.477,49.627,55.142,62.568,68.057,69.762,70.260,71.833,71.688,70.185,71.676,74.611,77.701,79.669,80.092,80.532,81.227,82.269,84.818,84.817,84.133
"    13","    Durable goods",19.964,21.709,22.301,23.471,25.708,26.236,26.902,26.897,28.132,30.050,31.101,31.288,32.709,32.951,32.871,32.920,32.927,33.226,33.537,34.211,34.796,35.815,37.061,38.208,39.051,39.735,41.443,47.448,53.073,56.210,59.998,64.439,70.239,76.886,83.109,86.840,88.530,90.302,90.513,90.480,91.618,94.582,97.468,98.527,99.510,100.148,101.302,102.847,103.771,101.889,100.526
"    14","      Wood products",15.633,17.814,16.586,18.837,20.639,20.093,20.074,19.797,20.444,20.818,19.908,19.545,20.816,20.147,19.435,19.667,19.992,20.339,20.559,21.489,21.278,23.817,26.444,24.001,26.933,29.466,35.139,36.898,36.468,41.345,47.335,54.687,59.097,58.286,59.749,59.090,63.110,63.304,62.824,63.646,65.995,67.871,71.232,71.762,73.322,80.029,91.767,95.450,94.751,94.873,98.292
"    15","      Nonmetallic mineral products",10.997,11.969,12.615,13.012,13.873,14.080,14.598,15.033,15.518,16.291,16.928,17.304,17.576,17.678,17.561,17.558,17.456,17.513,17.587,17.738,18.087,18.958,19.731,20.617,22.001,22.450,23.590,26.690,30.501,32.842,35.484,39.148,43.182,48.169,52.255,54.878,56.080,57.785,59.064,59.835,60.090,60.895,62.057,63.129,64.225,64.517,66.048,68.549,71.405,72.361,73.324
"    16","      Primary metals",9.377,10.664,10.947,11.588,12.602,12.859,13.427,13.911,14.831,16.121,16.448,16.481,17.033,17.209,16.995,16.974,16.916,17.330,17.755,18.134,18.449,18.977,20.066,21.662,22.033,22.765,24.125,31.216,34.838,36.933,39.953,43.273,49.163,53.670,57.645,58.086,59.003,60.688,59.846,58.803,61.144,68.460,71.493,69.866,67.318,66.389,65.958,69.876,76.978,74.067,74.648
"    17","      Fabricated metal products",10.811,11.971,12.295,12.793,14.212,14.098,14.364,14.469,15.104,16.056,16.746,17.011,17.258,17.454,17.536,17.646,17.782,18.080,18.313,18.831,19.205,19.720,20.500,21.665,22.493,23.171,24.166,28.975,33.251,34.699,37.150,40.196,44.091,48.470,52.627,55.040,55.835,57.424,58.181,58.302,59.234,62.182,65.065,66.375,67.112,67.378,67.872,69.172,71.784,72.392,73.202
