"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    1","    All industries",76.814,76.840,77.847,80.311,81.417,82.134,84.389,87.689,91.468,94.888,97.982,102.262,100.000,102.750,106.525,108.210,109.862,111.665,110.581,110.933,113.551
"    2","Private industries",78.316,78.185,79.014,81.412,82.338,82.865,84.969,88.214,91.947,95.311,98.310,102.584,100.000,102.690,106.557,108.251,109.859,111.584,110.281,110.561,113.148
"    3","  Agriculture, forestry, fishing, and hunting",84.360,80.069,75.887,76.447,79.385,76.119,82.216,91.048,87.927,88.562,103.077,114.602,100.000,107.668,129.846,135.470,137.820,136.970,123.304,110.787,114.187
"    4","    Farms",82.785,77.957,73.321,73.985,78.006,74.479,81.299,91.193,87.087,87.439,103.547,115.751,100.000,107.789,132.387,138.540,140.783,139.335,123.843,109.745,"113.244(u)"
"    5","    Forestry, fishing, and related activities",93.777,92.822,91.185,91.138,87.270,85.581,87.395,90.052,92.590,94.855,99.471,106.373,100.000,106.777,111.826,113.743,116.884,120.308,119.552,118.858,"121.489(u)"
"    6","  Mining",47.974,41.520,44.595,59.446,58.541,55.067,70.285,82.138,104.851,112.703,119.998,147.111,100.000,118.437,131.923,124.741,128.112,126.684,89.407,83.300,95.256
"    7","    Oil and gas extraction",44.575,33.859,40.474,64.678,62.647,55.103,78.745,94.187,124.938,130.708,139.376,182.149,100.000,127.529,144.390,130.397,137.482,135.111,78.743,70.194,"85.013(u)"
"    8","    Mining, except oil and gas",49.643,47.976,47.097,47.882,48.481,50.492,52.845,60.024,71.033,80.268,86.244,97.353,100.000,108.818,119.743,119.643,114.642,112.679,103.986,104.220,"110.197(u)"
"    9","    Support activities for mining",65.830,71.454,63.609,60.157,61.684,65.804,69.494,74.737,88.314,99.447,103.917,108.007,100.000,99.381,104.858,109.214,111.401,113.712,113.565,110.648,"113.377(u)"
"    10","  Utilities",65.612,63.813,62.829,67.665,74.264,70.387,78.449,82.739,92.268,97.177,99.122,106.962,100.000,102.333,103.988,99.622,103.722,110.415,104.264,100.932,104.742
"    11","  Construction",60.652,62.653,65.071,67.810,70.459,72.395,74.997,80.280,86.962,93.574,97.832,100.734,100.000,100.033,103.100,105.709,108.646,112.751,114.728,116.975,120.628
"    12","  Manufacturing",84.133,81.683,81.169,82.977,82.017,81.173,82.976,86.917,92.040,96.081,99.248,106.993,100.000,105.829,114.605,115.966,116.120,117.006,110.292,107.468,111.088
