"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    All industries",15.189,15.088,15.473,17.120,17.809,18.466,19.764,19.608,20.908,21.162,21.332,21.451,23.036,23.404,23.762,25.255,26.385,27.835,29.847,31.601,32.503,34.093,35.212,35.132,36.262,38.688,40.463,40.620,39.397,41.976,44.464,46.657,48.025,47.824,48.301,47.279,49.142,52.470,54.677,56.288,59.236,61.818,63.477,64.631,64.189,66.284,68.362,71.395,73.795,76.990,81.073
"    2","Private industries",14.795,14.687,15.022,16.768,17.105,17.486,18.744,18.704,20.109,20.409,20.490,20.569,22.243,22.608,22.901,24.312,25.426,26.904,28.937,30.558,31.233,32.741,33.862,33.795,35.014,37.612,39.578,39.658,38.230,41.060,43.722,46.000,47.429,47.129,47.562,46.311,48.175,51.730,53.852,55.306,58.445,61.163,62.772,63.833,63.214,65.470,67.741,71.020,73.664,77.179,81.582
"    3","  Agriculture, forestry, fishing, and hunting",28.983,31.364,30.414,32.454,32.246,33.212,34.020,35.079,36.536,36.960,36.593,37.692,39.261,40.402,41.463,42.500,44.241,43.808,46.147,46.708,49.006,49.518,51.008,51.805,53.902,56.725,57.072,54.618,57.230,58.469,60.957,63.542,66.581,64.421,68.452,68.893,60.683,68.788,71.955,71.212,73.765,70.776,74.280,77.108,77.782,81.888,79.845,86.713,83.687,84.978,89.372
"    4","    Farms",27.802,30.347,29.476,31.145,30.876,31.903,32.483,33.657,34.762,35.238,34.972,36.213,37.618,38.613,39.570,40.324,41.810,41.119,43.278,43.498,45.918,45.732,47.192,48.468,50.348,51.662,52.571,49.536,52.727,53.694,56.086,58.738,62.254,59.622,64.114,65.132,55.290,63.825,68.245,66.952,69.629,66.775,70.801,73.893,74.930,78.828,76.985,84.066,80.644,82.231,87.990
"    5","    Forestry, fishing, and related activities",34.683,31.973,30.116,37.482,38.469,37.826,41.993,40.678,46.950,46.421,44.708,43.047,46.358,49.045,51.120,55.672,60.198,63.226,67.060,71.851,71.862,80.506,81.982,77.379,81.363,99.285,93.214,98.660,93.261,97.209,100.305,102.132,100.651,103.058,102.325,97.418,104.907,107.953,99.434,103.332,104.823,100.838,100.084,100.743,98.598,104.216,100.774,106.504,105.809,105.216,100.510
"    6","  Mining",52.778,52.574,48.898,54.314,58.461,59.083,62.076,63.149,68.483,68.780,66.750,61.726,63.280,63.253,62.985,63.085,63.393,65.362,69.252,72.116,73.116,75.350,78.214,80.265,76.669,77.654,81.240,84.190,81.182,82.874,85.436,88.841,92.247,95.718,97.091,89.967,85.329,93.254,90.721,82.650,83.146,88.117,85.328,88.703,90.976,87.412,88.546,89.910,88.604,90.811,95.454
"    7","    Oil and gas extraction",46.344,53.240,48.899,53.176,59.261,61.122,63.679,64.618,68.974,72.377,74.447,70.905,73.273,73.535,75.408,77.001,79.265,81.433,85.572,90.824,96.924,99.070,102.786,105.046,103.976,103.303,102.660,100.745,95.320,96.510,98.711,99.836,97.975,96.236,94.534,90.080,88.397,94.530,94.151,90.559,92.886,94.197,89.983,91.275,93.250,91.122,90.813,90.184,91.607,92.905,98.101
"    8","    Mining, except oil and gas",62.791,53.635,49.619,55.472,57.745,54.981,57.879,56.386,63.246,62.199,57.135,50.289,52.283,56.099,56.009,55.857,56.273,58.000,62.941,65.276,62.541,64.950,67.061,70.561,65.092,65.274,72.676,77.580,73.652,74.580,74.800,77.827,87.710,87.857,85.978,72.935,73.907,84.219,81.226,80.989,80.845,89.833,90.896,95.386,99.239,97.326,94.098,101.641,99.451,102.252,107.441
"    9","    Support activities for mining",32.055,36.887,35.961,41.195,44.964,50.343,53.548,59.816,62.560,60.322,57.922,54.966,53.888,45.760,41.394,39.296,35.841,37.509,37.969,37.138,36.546,38.068,40.342,38.339,35.562,41.139,42.364,50.025,55.494,60.075,68.634,77.587,80.109,104.992,122.967,115.157,91.893,102.798,92.678,57.525,54.110,60.989,54.997,62.126,62.319,52.364,65.564,61.197,54.346,57.911,60.127
"    10","  Utilities",23.579,26.791,27.473,30.641,32.920,34.884,37.729,39.825,42.422,45.506,47.641,48.811,50.833,52.193,53.180,55.319,55.861,57.570,59.871,63.001,65.687,68.140,70.114,72.293,71.840,77.449,78.767,80.819,81.829,84.452,86.238,90.618,95.462,89.273,90.430,87.157,90.216,88.853,85.246,78.955,90.890,93.634,96.359,95.849,96.638,97.814,99.529,98.870,97.985,99.450,99.538
