"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    1","    All industries",81.073,85.352,89.841,93.748,93.962,94.682,96.766,100.349,104.263,106.373,108.243,106.388,100.000,102.993,104.834,107.427,109.275,112.713,115.276,117.300,120.394
"    2","Private industries",81.582,86.194,91.008,95.225,95.094,95.508,97.696,101.601,105.965,108.193,110.163,107.781,100.000,103.416,105.840,108.926,111.349,115.335,118.069,120.225,123.727
"    3","  Agriculture, forestry, fishing, and hunting",89.372,91.208,94.517,93.168,92.557,92.726,95.388,98.663,99.663,100.226,98.438,97.113,100.000,101.252,97.902,96.567,102.103,105.448,106.245,113.009,107.895
"    4","    Farms",87.990,88.516,90.548,91.694,90.382,90.008,92.643,95.330,96.469,97.120,96.995,96.410,100.000,101.114,97.058,96.089,102.109,104.585,105.993,113.660,"108.292(u)"
"    5","    Forestry, fishing, and related activities",100.510,110.721,121.903,105.589,109.372,113.082,115.999,123.526,123.535,123.497,109.670,102.522,100.000,102.277,104.627,100.051,101.210,112.116,107.969,108.212,"104.818(u)"
"    6","  Mining",95.454,94.392,90.748,95.632,100.694,92.605,93.709,95.299,98.221,102.611,103.280,105.852,100.000,102.837,110.806,120.160,127.123,141.673,134.570,113.172,128.630
"    7","    Oil and gas extraction",98.101,95.216,94.019,100.160,101.819,94.857,94.386,94.410,93.276,92.707,94.205,97.054,100.000,101.565,106.424,117.024,129.031,146.367,149.101,135.108,"152.332(u)"
"    8","    Mining, except oil and gas",107.441,109.536,107.083,108.579,107.544,102.813,103.146,106.983,113.133,118.716,115.091,114.660,100.000,101.044,108.728,106.897,105.171,104.741,98.672,90.616,"95.878(u)"
"    9","    Support activities for mining",60.127,59.142,48.642,54.308,84.070,66.460,75.355,81.406,102.153,133.327,136.301,142.255,100.000,113.104,139.298,166.775,166.111,196.853,147.930,82.710,"112.026(u)"
"    10","  Utilities",99.538,102.967,123.724,136.951,149.440,116.444,110.142,106.969,113.655,108.422,113.579,117.785,100.000,106.304,99.006,94.515,97.229,99.859,99.898,99.538,99.423
"    11","  Construction",107.299,113.377,118.173,123.321,124.332,122.622,126.585,131.662,135.007,131.825,124.625,115.264,100.000,92.444,89.717,92.824,96.206,101.226,108.356,113.062,111.938
"    12","  Manufacturing",102.282,107.187,111.518,113.935,109.161,108.599,108.557,111.621,115.979,117.666,120.711,114.136,100.000,105.553,108.978,112.709,114.712,116.617,117.359,118.935,121.546
"    13","    Durable goods",101.415,109.267,116.233,120.771,114.299,112.242,113.258,117.148,122.961,126.567,130.702,123.685,100.000,109.790,117.360,122.963,125.555,130.349,130.616,129.870,134.238
"    14","      Wood products",138.338,146.249,151.004,148.582,139.840,144.500,143.589,147.907,159.150,161.200,148.733,128.662,100.000,103.020,103.971,112.320,118.788,119.661,127.030,133.709,"140.585(u)"
"    15","      Nonmetallic mineral products",130.131,137.427,139.381,139.338,135.055,135.136,136.217,140.023,144.646,148.961,148.148,130.006,100.000,102.623,103.206,107.932,112.285,116.852,120.233,121.272,"121.658(u)"
"    16","      Primary metals",134.758,139.759,138.726,132.195,121.120,123.929,119.306,131.272,131.626,129.807,133.958,135.545,100.000,122.485,131.201,131.357,136.049,136.559,128.073,125.266,"128.377(u)"
"    17","      Fabricated metal products",117.714,121.699,122.636,126.903,118.650,115.893,113.989,113.728,119.101,125.817,130.915,127.319,100.000,104.594,112.486,120.681,122.430,125.713,123.757,125.853,"133.531(u)"
"    18","      Machinery",118.651,121.639,119.460,125.893,112.189,106.322,107.298,111.181,119.874,125.653,129.298,126.626,100.000,110.784,125.034,136.133,130.654,133.253,122.293,116.241,"122.303(u)"
"    19","      Computer and electronic products",54.526,63.607,76.591,94.785,89.965,79.911,84.708,91.439,96.351,104.077,114.466,115.865,100.000,105.845,109.905,111.730,111.371,111.906,112.321,118.844,"125.895(u)"
