industry,year,rmse,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,624,711AS,713,721,722,81,GFE,GSLE,GSLG,Other,Used,quantity_change
111CA,1964:2016,0.14611289672022262,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113FF,1964:2016,0.14989620993720834,,,,,,,,,,,,C,,,C,C,,,,,,,C,,,,C,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,C
211,1964:2016,0.2239744890923967,,,C,,,C,,,,,,,,,C,,,,,C,,,,,,,,,C,,,,,,,,,C,,C,,,,,,,,C,,,,,,,,,,,,,,,,
212,1964:2016,0.1302944002728853,,,,,,,C,,,,,,,,,C,,,C,,,,,,,,C,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1964:2016,0.16977297486409035,,,,,,,,,,,,,,,,,,C,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,
22,1964:2016,0.15597000506883066,,,,,,C,,,,,,,,,,,,,,C,,,,,,,C,,C,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
23,1964:2016,0.08621262073546729,,,,,,,,,S,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,
311FT,1964:2016,0.14071244514095302,,C,,,,,,,,,,,C,,,,S,,C,,,,,,,,,,,,,C,C,,,,,,,C,,,,,,,,,C,,,,,,,,,C,,,,,,
313TT,1964:2016,0.1588037721370208,,,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,S,,,,,C,S,,,,,,,S,,,,,,,,,,C,,,,,,
315AL,1964:2016,0.18773882176545176,,,,C,,C,,S,,,C,C,,,,,,,,,,,C,,,C,,S,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,
321,1964:2016,0.09345188976889361,,C,,,,C,,,S,,,S,,,,,,,,,,,,,,,,S,,,S,C,,,,C,,,,C,,C,,C,,,,,C,,,,,,,,,,,C,,,,
322,1964:2016,0.13363319488208528,,,,,,C,,,,,C,,,,,,,C,,,,S,,,,,,,C,,,C,C,,,C,,,,,S,,,,S,,,,,,,,,,,,,,,C,,,,
323,1964:2016,0.1700687620509523,,,,,,,,,S,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,S,S,,,,,,,,,,C,,,,,S
325,1964:2016,0.19039731189225906,,C,,,,C,,,S,,,,,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,S,,,,,,,,,,,,,S,,,S,,,,,,
326,1964:2016,0.14871184720924047,,,,,,,,,,,,C,,,,,C,C,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,S,,,,,,,,C,,,,,,
327,1964:2016,0.12300105722881907,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,C,,,,,C,,,S,,,,,,,,,C,,,C,,,,
331,1964:2016,0.10411902483488979,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,,S,,C,C,C,,,,,,,,,,,,,S,,,,,,,,,,,,C,,,,,,
332,1964:2016,0.10511609748089831,,,,,,,,,,,C,,,,,,,,,,,,,,,,,C,,,,C,C,,,,,,,C,,,,,,,,,C,,,,,,,,,,C,,,,,
333,1964:2016,0.12237242280823735,,,,,,C,,,,,,,,,C,,,,,,,,S,,,,,,,,,,C,,,,,,,,,,,,C,,,,,,,,,,S,,,,,,,,,
334,1964:2016,0.11886300361258326,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,C,S,,,C,,,,,,,C,,C,,,C,,,,,,,,,,,,,C,,,,,,S
335,1964:2016,0.13232926708484338,,,,S,,,,,,,C,C,,,C,C,,,,,,,S,,,,,,C,C,,,C,,,,,,,C,,C,,,,,,C,,,,,,C,,,,,,,,,,
3361MV,1964:2016,0.10711327786176036,,,,,,,,,,,C,,,,,C,C,C,,,,,,,,,,,,,,,C,,C,,,,,,,C,,,,C,,,,C,,,,,,,,,,,,,,
3364OT,1964:2016,0.16251282621429025,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,C,,,,,C,S,,,,,,,,,,,,,,,,,,
337,1964:2016,0.13627991201474654,,,,C,,,,,,,C,,,,,,,,C,,,,,,,,,,,C,,C,,,,,,,,,,,,,,S,,,C,C,,,,,,,,C,,,,,,S
339,1964:2016,0.13349625152376743,,,,S,,,,,,,,C,,,,,C,,,,,,S,,,,C,,,C,,C,,,,,,,,,,C,,,C,,,,,,,,,,,,,C,C,,,,,S
42,1964:2016,0.12851960763655224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,C,,,,,,,,,,,,C,,,,,C,,,,,,,,,
481,1964:2016,0.08687837990463701,,,,,,C,,,,,,,,,,,,,,,,,,S,,,C,,C,,,,C,,,C,,,,,,,,C,,,,,S,,,,,,,,,,,,,,,
482,1964:2016,0.11685702749197202,,,,,,S,,,,,,,,,,,,,,,,,C,,,,C,,,C,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,1964:2016,0.22722837762868353,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,C,C,,,C,,,,,,,,,,,,,,,S,,,,,,,,,,S,,,,,,
484,1964:2016,0.10589625250938772,,,,,,,S,,,,,,,,,C,,,,,,,S,,,,C,,,C,,,C,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,
485,1964:2016,0.10278408736304878,,,,,,,,,,,,,,,,,,,,,,,,,,S,C,,C,,,,C,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,C
486,1964:2016,0.5401046894597036,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487OS,1964:2016,0.2103601953757778,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,,C,,C,,C,,,,,S,,,,,,,,,,,,,,,,,,S,C,,,,,,,
493,1964:2016,0.19740267693263563,,,,,,,C,,,,,S,,,,,,,,,,,,,,,C,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,C,,,,,,
511,1964:2016,0.15783169610845538,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,C,C,,,,,,S,,C,,C,,,,,,,,,,C,,,,,,,,C,,,,,,
512,1964:2016,0.1977906657849251,,,,,,C,,C,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C,C,,,,,,,,,,,,C,,,,,,
513,1964:2016,0.1027524485690931,,,,C,,,,,,,,,,,,S,,C,,C,,,,,S,,,,,,,C,C,,S,,,C,,C,C,,,C,,,,,,,,,,,,,,,,,,,,
