industry,year_range,rmse,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,624,711AS,713,721,722,81,GFE,GSLE,GSLG,Other,Used,quantity_change
111CA,1964:2016,0.142767139227668,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113FF,1964:2016,0.148834660341003,,,,,,,,,,,,C,,,C,C,,,,,,,C,,,,C,,,,,,,,,,,C,,,,,,C,,,,,,,,,,,,,,,,,,,,C
211,1964:2016,0.197054390141771,,,C,,,C,,,,,,,,,C,,,,,C,,,,,,,,,C,,,,,,,,,C,,C,,,,,,,,C,,,,,,,,,,,,,,,,
212,1964:2016,0.13956126898416,,,,,,,C,,,,,,,,,,,,C,,,,,,,,C,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1964:2016,0.180618914142963,,,,,,,,,,,S,,,,,,,C,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,
22,1964:2016,0.151330617594916,,,,,,C,,,,,,,,,,,,,,C,,,,,,,C,,C,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C
23,1964:2016,0.0793780851226125,,,,,,,,,S,,C,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,
311FT,1964:2016,0.147372765979495,,C,,,,,,,,,,,C,,,,S,,C,,,,,,,,,,,,,C,C,,,,,,,C,,,,,,,,,C,,,,,,,,,C,,,,,,
313TT,1964:2016,0.163957141279019,,,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,S,,,,,C,S,,,,,,,S,,,,,,,,,,C,,,,,,
315AL,1964:2016,0.187992574173247,,,,C,,C,,S,,,,C,,,,,,,,,,,C,,,C,,S,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,C,,,,
321,1964:2016,0.0895125453813608,,C,,,,C,,,S,,,S,,,,,,,,,,,,,,,,S,C,,S,C,,,,C,,,,C,,C,,C,,,,,C,,,,,,,,,,,C,,,,
322,1964:2016,0.130144101698867,,,,,,C,,,,,C,,,,,,,C,,,,S,,,,,,,C,,,,C,,,C,,,,,S,,,,S,,,,,,,,,,,,,,,C,,,,
323,1964:2016,0.18211282298846,,,,,,S,,,S,,,,,,,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,S,S,S,,,,,,,,,C,,,,,S
325,1964:2016,0.166662535461414,,C,,,,C,,,S,,,,,,C,,,,,,,,,,,,C,,,,,,,,,,,,,,,S,,,,,,,,,,,,,S,,,S,,,,,,
326,1964:2016,0.159149538917047,,,,,,,,,,,,C,,,,,C,C,,,,,,,,,,,C,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,
327,1964:2016,0.113961307076587,,,,,,,,,,,C,,,,,,,C,,,,,,,,,,,,,,,C,,,,,,,C,,,,,C,,,S,,,,,,,,,C,,,C,,,,
331,1964:2016,0.103507193120342,,,,,,,,,,,,S,,,C,,,C,,,,,,,,,,,S,,C,C,C,,,,,,,,,C,,,,S,,,,,,,,,,,,C,,,,,,
332,1964:2016,0.10108968457212,,,,,,C,,,,,C,,,,,,S,,,,,,,,,,,C,,S,,C,C,,,,,,,C,,,,,,,,,C,,,,,,,,,,C,,,,,
333,1964:2016,0.11742240922045,,,,,,C,,,,,,,,,C,,,,,,,,S,,,,,,,,,,C,,,,,,,,,,,,C,,,,,,,,,,S,,,,,,,,,
334,1964:2016,0.119177379581987,,,,,,,,,,,,,,,,C,,,C,,,,,,,,,,C,S,,,C,,,,,,,C,,C,,,C,,,,,,,,,,,,,C,,,,,,S
335,1964:2016,0.140169420736916,,,,S,,,,,,,C,C,,,C,C,,,,,,,S,,,,,,C,C,,,C,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,
3361MV,1964:2016,0.11205066677318,,,,,,,,,,,C,,,,,C,C,C,,,,,,,,,,,,,,,C,,C,,,,,,,C,,,,C,,,,C,,,,,,,,,,,,,,
3364OT,1964:2016,0.160787360973309,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,,,,,,,C,,,,,C,,,,,,,,,,,,,,,,,,,
337,1964:2016,0.13598052326365,,,,C,,,,,,,C,,,,,,,,C,,,,,,,,,,,C,,C,,,,,,,,,,,,,,S,,,C,C,,,,,,,,C,,,,,,S
