industry,year_range,rmse,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,624,711AS,713,721,722,81,GFE,GSLE,GSLG,Other,Used,quantity_change
111CA,1964:2016,0.142767139227668,-0.00944812790537044,0,0,-0.116311715183594,0,-0.0136802150652959,0,-0.00629128529205584,0.00416425045798804,-0.0109003351082629,-0.00341924758653298,-0.0122935669623079,-0.0187282372198628,0,-0.00866822729822738,0,0,0,0.0014773164939017,0,0,0,0.00467542558908463,0,0,0,0,-0.0114444545996944,0.00429772919389453,-9.7534231571887e-05,0,0,0.527372508474133,0,-2.02183809755278e-05,-0.00339756986943844,0,0,0,0,0,0,0,-0.0202831554298218,0,0,0,0,0,0,0,0,0,0,0,0.00244967420311532,0,0.00444270080435866,0,0,0,0,0,-0.0127151307746836
113FF,1964:2016,0.148834660341003,-0.0198916783514201,-0.0126759878894929,0,0,0,0.000152260604487287,0,-0.000569438485942804,0.0152921155010818,0,0.00752813704901826,0.0776591181451649,0,0,0.0810978016452611,0.0751027511474908,0,0,0.0111930710832458,-0.000806763195074508,0.0359467587673961,0,0.0602113713860107,0.0121480807055176,0,0.025582658280766,0.274298937527707,0.0114815230418115,-0.0308294858092366,0.000373585554202226,-0.00303273634959804,0,0,0.0199162184652699,0,0,0,0.0800239565567328,0,0,0,0,0,0.0465598924831399,0.00858219353928826,-0.00753547006805018,0,0,0,0,0,0,0,-0.000157641685184302,0,0,0,0.0229354660812664,-0.00366597326801104,-0.00131266377023442,0,0,0,0.0461453702680059
211,1964:2016,0.197054390141771,0,0,0.0692069392769316,0,-0.000545982381000232,0.206213393058982,0,0,0,0,0,0,0,0,0.109962263224621,0,0,-0.000987541453061611,0,0.105013689751067,0,0,0,0,0,0.0104599684409426,0.0287554194809389,-0.000137678882722421,0.0717641445913466,0.0294416473748592,0.0201838407528532,0,-0.000167329589166265,0,0,0,0,0.187093724821151,0,0.0786947145451248,0,0.0432007782060097,0,0.00232749122165447,-0.0107037692722691,0,0,0.0678825106185216,0.000494454064452801,0,0,0,0,0,0,-0.0020653403857175,0.0411889668242222,0.0219292662283448,0,0,0,0,0,-0.0224495948012075
212,1964:2016,0.13956126898416,0,0,0,0,0,0.0280216887479488,0.0494659506964468,0,0,0,0,0,0,0,0.0276599600152597,0.0306765398145464,-0.000170970571594005,-0.00337987725635594,0.0434252317421711,0.00517066458568852,-0.00938955752170598,0.00051393334614745,0,0,0,0.0307370553981529,0.300723274754638,0.00770139774703737,-0.00122977732111831,0.0155734422835796,0.00170650477710758,0.0909419792148019,0.216810094645643,0,0.0191923084824738,0,0,0.00797518728747626,0,0.0309479558056566,0.0148977729158973,0,0,0.0197612521132218,-0.0219026329305299,0.00986774304536132,0,-0.0038268662803718,0,0,0,0,0,0,0,0.00821061959127765,0,0,-0.00143536185104046,0,0,0,0,0.0117637470419354
213,1964:2016,0.180618914142963,0,0,0,0.0376404994062034,0,0.0144525240786474,0,0,0,0,-0.0718551528991971,0,0,0,-0.0187409619918742,0,0.00708382417725998,0.0686253696106947,0.00166841807071438,0.143127654278777,0,0,0,0,0,0,0.349592372842504,0.00294212270443794,0.0941952122185733,-0.0293987788327409,0,0,0,0,0,0,0,0.0234637607905141,0,0,0,0,0,-0.0252410528920085,0,0,0,0.00603111452376678,0,0,0,0,0,0,0,0,0,0.067319997036366,0,0,0,0,0,-0.0309357606380234
22,1964:2016,0.151330617594916,0,0,0.00645196040021886,-0.0054020560704745,0,0.0597870537159939,0,0,0,0,0,-0.0225673844506838,0.000807689595546119,0,-0.00073889261996585,0,-0.0303794384525237,0.000174064517897725,-0.0025972342666458,0.0738972143793681,-0.000447114272152694,-0.00118773759287948,0.0160341807957149,0,0,0,0.401587916760415,0.00432031985153168,0.0444020451219306,0.00594154885249438,0.00226726981377172,-0.0175218116154903,-0.108671052339255,0.000620005812445348,-0.00827257615847018,-0.0173536979875683,0,0,0,0.00630282337579251,0.00138772002577239,0.0109149703326133,0,0.027701589873069,-0.0193809436474046,-0.00363424741473402,0,0.00796651846952567,0,-0.0162331467384801,0,0,0,-0.032625363777261,0,-0.0148300388027236,-0.00100681863354345,0,0.0239698625848169,0.0190917461250837,0,0,0,0.124327603301952
23,1964:2016,0.0793780851226125,0,0,0,0,0,0.000720619784491067,0,0,-0.0516346684273552,0,0.0267889626088186,-0.000819700824863734,-0.0179794634359455,0,0,0,0,-0.000606653782037559,-0.00340283355292149,0.0070664820796494,-0.00435215234756472,-0.0101938239589536,0.00221999142976368,0,0,-0.0179973341929157,0,0,0,0.00918009808093176,0,0.00293278370507703,0.267750227709018,0,0,0,0,0.00343586726965408,0,0.0737900587675326,0,0,0,0,0,0.006578901167369,0,0,0,0.00342818091695123,0,0,0,0,0.00820933063240614,0,0.00682687192177608,0,0,0,0,0,0,-0.00209649523290304
311FT,1964:2016,0.147372765979495,0.00331092261334216,0.12272792968191,0,0,0,-0.00188688052253486,-0.00266029419402731,0,0.00251336941891666,0,0.0291329064275817,0.00201681220895565,0.0453939465468758,0,0.0188229617186531,0.00112855036603918,-0.0446635894772357,0,0.0499570843051462,-0.000839545471568458,-0.0193741784443683,0.0200154918827521,-0.0248898783766104,0,0,-0.00324225764957623,-0.0116024116618871,-0.00852128070024815,0,-0.00130481174325243,-0.00848911874147966,0.0873133248872886,0.231774033083079,0,-0.00226019692029888,0,0,-0.00664313144273887,0,0.075282172427399,-0.00909287769482281,0.00134896058842067,0,0.00851909548246484,-0.0121241726436361,0.010983298671731,0,0.00160236618738639,0.0459573034964064,-0.000165579376986667,0,0,0,0,0,0.00555377156890895,-0.00128343553025258,0.126782267573037,0,0.0127162704480247,0,0,0,0.0295134559041943
313TT,1964:2016,0.163957141279019,-0.00499000444131739,0,0,0.0672636917493058,0,0.0280296037909132,-0.0243746226872591,0,0,0,0.00124753553976569,0,0,0,0.0361622104482363,0.103577620675893,0,-0.00629489138992125,0,0.0146913752107295,0,0,0,0,0,-0.005291893403994,0,-0.0243384869963066,0,0.0015810871606364,0,0,0,0,-0.0463862913909339,0,0,0.00503856166185835,0,0.10007068555701,-0.0467915209389515,0,0,0,0,0,0,-0.0478857108960729,0,-0.0138234741547528,0,0,0,0,0,0.0132541826492117,0.0387872018771271,0.123203083485095,0.0289727342883926,0,0,0,0,0
315AL,1964:2016,0.187992574173247,0,0,0,0.050165733658578,0,0.18638441959455,-0.000789375023334837,-0.0727184943568248,0.00560160813962712,0,0.037259571696737,0.0497671697979869,0,0,0.00749253038300111,0,0,0,0.0335257008344639,0,0,0,0.0472222280623265,0,0,0.0644753254124077,0,-0.0720147185229878,0.0229158921049259,0,0,0,0,0,0,0,0,0,0,0.0564942613936227,-0.00528478076285369,0,0,0,0,0,0,0,-0.00943766687722765,0.0400603378899564,0,0,0,-0.0227849471521863,0,0,0,0.00925340429285532,0,0.0681141608403111,0,0,0,-0.00267250057124447
