year,industry,description,direction,complements,substitutes,other
2015,111CA,Farms,downstream,0.0,0.0,1.0
2015,111CA,Farms,upstream,0.0009216580917167783,0.0104619005118887,0.9886164413963946
2015,113FF,"Forestry, fishing, and related activities",downstream,0.377045851596224,0.0,0.6229541484037759
2015,113FF,"Forestry, fishing, and related activities",upstream,0.2402558143091993,0.0,0.7597441856908007
2015,211,Oil and gas extraction,downstream,0.00031041550028582256,0.0,0.9996895844997141
2015,211,Oil and gas extraction,upstream,0.22799750478956526,0.0,0.7720024952104347
2015,212,"Mining, except oil and gas",downstream,0.006242830947676067,0.05701873898639859,0.9367384300659254
2015,212,"Mining, except oil and gas",upstream,0.13762544084967634,0.0,0.8623745591503237
2015,213,Support activities for mining,downstream,0.0,0.0,1.0
2015,213,Support activities for mining,upstream,0.24812423137786419,0.0,0.7518757686221358
2015,22,Utilities,downstream,0.2331863145978345,0.003957378075974733,0.7628563073261907
2015,22,Utilities,upstream,0.06503071624041633,0.0790914803842355,0.8558778033753481
2015,23,Construction,downstream,0.014875551516424175,0.004720549552047601,0.9804038989315282
2015,23,Construction,upstream,0.07223362583333251,0.0029622621121756006,0.9248041120544919
2015,311FT,Food and beverage and tobacco products,downstream,0.00015691727246094466,0.03399910085164931,0.9658439818758897
2015,311FT,Food and beverage and tobacco products,upstream,0.051603739595497855,0.009033089356761023,0.9393631710477411
2015,313TT,Textile mills and textile product mills,downstream,0.006712872454704669,0.05821552020585739,0.935071607339438
2015,313TT,Textile mills and textile product mills,upstream,0.03313382760808057,0.12359708272136359,0.8432690896705558
2015,315AL,Apparel and leather and allied products,downstream,0.003772716588544602,0.0018883828820497226,0.9943389005294057
2015,315AL,Apparel and leather and allied products,upstream,0.04162836096690026,0.041684814019133785,0.9166868250139659
2015,321,Wood products,downstream,0.48210957826213235,0.0,0.5178904217378677
2015,321,Wood products,upstream,0.2743770683470336,0.05297739165804701,0.6726455399949193
2015,322,Paper products,downstream,0.09101946915151733,0.005888481721285753,0.9030920491271969
2015,322,Paper products,upstream,0.12418594707521138,0.007456956761946837,0.8683570961628418
2015,323,Printing and related support activities,downstream,0.026902912602084474,0.014777532637047912,0.9583195547608676
